Řádek 1231 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; prodloužení platnosti stavebního povolení obecného a na komunikace | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: OWO.CZ, s.r.o. | smluvni_cena_bez_dph_kc: 146000.0 | datum_uzavreni_smlouvy: 2021-07-13
Řádek 1338 | nazev_zakazky: Stavba č. 45029 Rek. a dost. Průmyslového paláce; Administrátor na správce stavby II | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: act Řanda Havel Legal advokátní kancelář s.r.o. | smluvni_cena_bez_dph_kc: 470000.0 | datum_uzavreni_smlouvy: 2022-09-09
Řádek 1398 | nazev_zakazky: Zpracování projektové dokumentace a související činnosti - Stavba č. 00000000 Propojení kolektorů Hlávkův Most - Centrum I. | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: KO-KA s.r.o. | smluvni_cena_bez_dph_kc: 49994674.0 | datum_uzavreni_smlouvy: 2024-12-19
Řádek 1415 | nazev_zakazky: Objednávka na zajištění ubytování a stravování olympioniků v rámci ODM 2026_DM Na Třebešíně | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Střední průmyslová škola, Praha 10, | smluvni_cena_bez_dph_kc: 607544.64 | datum_uzavreni_smlouvy: 2026-06-10
Řádek 1528 | nazev_zakazky: Objednávka ZP - pozemky parc. č. 221/300, 221/360, 246, 248/2, 248/4, 251, 252/1 a 509 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 18500.0 | datum_uzavreni_smlouvy: 2025-01-08
Řádek 1529 | nazev_zakazky: Objednávka ZP - pozemky parc. č. 221/238, 221/384, 248/4, 252/1 a 256/1 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 12500.0 | datum_uzavreni_smlouvy: 2025-01-08
Řádek 1577 | nazev_zakazky: Zmlazení keřů a odstranění kůlování stromů u Trojského mostu | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Pražské služby, a.s. | smluvni_cena_bez_dph_kc: 31560.0 | datum_uzavreni_smlouvy: 2023-07-21
Řádek 1578 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Řepy, Stodůlky, Modřany, Libeň, Černý Most – březen 2024 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Besser Karolina, JUDr., advokát | smluvni_cena_bez_dph_kc: 148350.0 | datum_uzavreni_smlouvy: 2024-03-05
Řádek 1662 | nazev_zakazky: 4328 Rajská zahrada – přemostění; Administrátor na TDS | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: act Řanda Havel Legal advokátní kancelář s.r.o. | smluvni_cena_bez_dph_kc: 380000.0 | datum_uzavreni_smlouvy: 2022-09-09
Řádek 1664 | nazev_zakazky: Objednávka znaleckého posudku - k.ú. Černý Most, pozemek parc.č. 221/5550,221/552,221/560 a 221/562 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: RiPSS s.r.o. | smluvni_cena_bez_dph_kc: 6800.0 | datum_uzavreni_smlouvy: 2021-06-11
Řádek 1665 | nazev_zakazky: Komplexní zajištění marketingové komunikace, PR a kmunitního managementu v rámci letní Olympiády dětí a mládeže 2026, na území hl. m. Prahy | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Smíchovská střední průmyslová škola, gymnázium a hotelová škola Radlická, příspěvková organizace | smluvni_cena_bez_dph_kc: 520000.0 | datum_uzavreni_smlouvy: 2026-06-08
Řádek 1768 | nazev_zakazky: Zpracování podkladů k navrhovaným energetickým opatřením - Vyšší odborná škola ekonomických studií, Gymnázium, Střední průmyslová škola potravinářských technologií a Střední odborná škola přírodovědná a veterinární, Praha 2, Podskalská 10 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Energie EZE, institut pro hospodaření energií, s.r.o. | smluvni_cena_bez_dph_kc: 133000.0 | datum_uzavreni_smlouvy: 2023-08-31
